Gender,Text,Description,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color
,The flu is kicking my butt,,Nikki Parsley,nikparss,0,5E1085,FFFFFF,FFFFFF,FFFFFF
,Day 4 of the flu and I ve decided I d rather have lice,,gianna gonzalez,ggonzzaaa,787878,484848,909090,606060,303030
,Really the flu,,michaelaaaaa,m Armidano,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Tom Brady flu game,,The Cakeologist,HoolMcBride,333333,000D99,DDEEF6,FFFFFF,20426
,FLU SCAN Global flu update H5N1 cases in Egypt and China H7N9 cases in China continue,,CIDRAP,CIDRAP,333333,7A0019,DDEEF6,0,7A0019
,RT itsvooto19 When you re sick with the flu and wake up to m sheldon talking about the Reds it makes the day a little better,,Everything Reds,CincinatiReds,333333,010A0D,DDEEF6,0,01070A
,RT LandSurfingPro Big Pharma admits in writing on the vaccine that it does not prevent the flu the least bit,,World News Report,robinsnewswire,634047,880000,FFFFFF,FFFFFF,141106
,RT WLKYDerek On Patriots Brady fighting flu bug,,Coco Hilliard,CocoHilliard,333333,0084B4,DDEEF6,C0DEED,C0DEED
,RT athomemoma Take 3 Actions Tips To Protect Your Family Against The Flu FightFlu Ad,,Pam,pamwattenbarger,634047,88253,E3E2DE,D3D2CF,EDECE9
,So much ice on my wrist i got the Flu babyyyyyyy,,Fred,Famous Freddd,333333,FA743E,DDEEF6,FFFFFF,C0DEED
,Flu shot girl confused on her feelings about flu shots iFunny,,justin parker,justinparkerrr,333333,0084B4,DDEEF6,C0DEED,C0DEED
,The flu would be a million times worse if i didn t have my wonderful and beautiful best friends roommates to take care of me theyrethebest,,Alexis Lauritzen,ATL TX,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Think I have the flu,,Angelica,geliicaaa,454545,737373,141414,FFFFFF,0
,I thought the flu was supposed to ruin your appetite but this is not the case Bring me all the cake amp fried pickles in the land,,Julia Bellendir,JuliaBellendir,6F1663,A31E92,A68D6A,F0CF8D,5E1855
,My skin hurts to touch Does anyone else get this w flu or cold I want to jump out of my skin it s so sensitive,,Kristin,brightstride,333333,FB3B76,F6F6F6,FFFFFF,ACDED6
,Nyyrangers11 gaaabyyxoxo the doctor said a lot of people who got the flu shot are still getting the flu,,Michael Lesler,MichaelLesler,333333,9999,EFEFEF,EEEEEE,131516
,I swear if I get the stomach flu theburgprobs,,Sierra Nicole,sierranicole,333333,0084B4,DDEEF6,C0DEED,C0DEED
,USF Morsani Center for Advanced Health Care using a rapid flu test The USF Morsani Center for Adv healthcare,,GreatTweets2Go,Greattweets2go,333333,2771A3,EFEFEF,0,131516
,molliekay exactly You can do it It will be a good after the flu treat I d share mine if you were here,,Regina Phalange,whtabtpineapple,4B4F88,CF5736,91D0DC,7FBDCA,7FBDC9
,has flu eats big double burger cookout tray with chicken quesadilla and hush puppies,,spencer lamb,s lambchop,FFFFFF,0,0,FFFFFF,FFFFFF
,ChelseaAiDawson ok honestly i hope u get the flu,,Caro,Wusupcaro,5E412F,CE7834,78C0A8,F0A830,FCEBB6
,Being in bed with the stomach flu is always nice said no one ever,,Adriana Angeles,adrianaceleste,0,F76541,FFE0E8,FFFFFF,FFFFFF
,Household Cleaning Tips for Cold and Flu Season,,HCareNetwork,HCareNetwork,333333,00BBFF,DDEEF6,C0DEED,C0DEED
,RT SirenSassenach After a day of taking 3 boys amp hubs to Dr all with flu and then work Momma s watching Outlander Episode 1 Sassenach h,,Arlene Rogers,Canarsie99,0,4A913C,0,0,0
,Gamasutra WY Leong s Blog A diary of compromises The process of making Girl s Flu for Global Game Jam GameDev,,1 109 370,JoeKlemmer,333333,0084B4,A0C5C7,FFFFFF,22330
,Rumor Has It FLU is Increasing,,Dj Prince Jett,DjPrinceJett,333333,9999,EFEFEF,EEEEEE,131516
,ClaudiaTonihka move just has had an AWFUL time with this flu,,Kimberly,KimberlyMT413,0,FF0000,0,0,0
,RT gardenofliferaw FLU SHOTS ThingsToRunFrom,,ktgfashionhouse,KTG,272726,B7B8B8,888886,0,E0DAD9
,RT sojerseysports The Story of How the Eastern GirlsBball Team Honors a former Player who Died from the Flu on 6abc 6 easternviking ht,,Eastern Wrestling,EasternVikes,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Patriots Brady fighting flu bug Hawaii,,24 7 Newz,247 newz,333333,9999,EFEFEF,EEEEEE,131516
,The flu isn t fun,,Jeremy Law,iamJ LAW,FAF5F6,33ED0E,F20C1F,0,131516
,Father Kindergartner who received vaccine dies days after coming down with the flu,,T G Kay,T7Kay,00E1FF,FA1500,4E5252,FFFFFF,0
,10 REASONS WHY FLU SHOTS ARE MORE DANGEROUS THAN A FLU World,,Daniel Vargas,danvar64,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Doctors Say Flu Season May Have Peaked From NBC10 Lansing Jackson,,MI News Place,minewsplace,333333,0084B4,DDEEF6,C0DEED,C0DEED
,SouthwestAir gt Delta gt united gt the flu gt USAirways and AmericanAir,,Kyle T,kylesinDC,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Lady if your still suffering from the flu keep yo ass at home until well ok,,RJC 1972,RJC 1972,333333,0084B4,DDEEF6,C0DEED,C0DEED
,RT gaynycdad Twitter Party With NickManGold We are Fighting Cold amp Flu With NYTough sp via gaynycdad,,Jennifer Medeiros,makobiscribe,3D1957,6121C2,7AC3EE,FFFFFF,0B2929
,Swear this flu ain t no joke,,McLaurin,Mclaurin31,333333,0084B4,DDFFCC,BDDCAD,BF0606
,With the flu season in full swing use these 7 tips to prevent getting sick from your own home,,American Standard,AMStandard,FFFFFF,1CA929,0F4234,0,3F3633
,ugh i hate ppl like this RT RJC 1972 Lady if your still suffering from the flu keep yo ass at home until well ok,,J J Fad,MsSTL79,3D1957,FF0000,7AC3EE,65B0DA,642D8B
,On the other hand for the Braves Mike Shaw is looking chipper and ready to go following his bout with the flu,,Dave Reynolds,DaveReynolds2,333333,0084B4,DDEEF6,FFFFFF,C0DEED
,This flu has hit me HARD,,xRyan915,Ryan915,333333,0091FF,DDEEF6,FFFFFF,C0DEED
,RT CallmeNovaKAYne This cold is kicking my ass managed to steer clear of the flu tho so I m Still blessed,,Lex Capital,lexATMfam,333333,9999,EFEFEF,EEEEEE,131516
,RT gaynycdad Twitter Party With NickManGold We are Fighting Cold amp Flu With NYTough sp via gaynycdad,,Misty Goodwin,mistydawn1975,B1CD13,4A913C,FFB635,FD57AD,BC7ABE
,RT VitaminShoppe Help fight flu like symptoms with BoironUSA Oscillococcinum,,Lori Leal,LoriLeal1,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Got the flu,,Ryan,RdoT,333333,9999,EFEFEF,EEEEEE,131516
,Barely escaped the plague going around on the March only to come home and get the flu from my brother life is so cruel,,Maggie Kelly,maggie kelly15,333333,0084B4,DDEEF6,C0DEED,C0DEED
,How many more have to die from the flu after receiving the flu shot for us to wake up to the fact that this,,Dr Kazi Kearse PsyD,KaziKearse,333333,0084B4,DDFFCC,BDDCAD,9AE4E8
,Flu got me out for the next few days All thanks to wild thing,,That One Guy,yxurbestregret,333333,0084B4,DDEEF6,C0DEED,C0DEED
,I think I ve got early stages of the flu,,Michael Leslie,mleslie93,0,0E21F0,E7F0F5,0,205
,This SuperBowl season join Hall of Famer Jan Stenerud amp get your flu vaccine it s not too late,,Men s Health Network,MensHlthNetwork,50005,941237,999798,FFFFFF,E3E3E3
,Flu shot hoax admitted No controlled trials demonstrating a decrease in influenza nws health medicine USA p2,,J Nayer Hardin,cureworks,3D1957,3C3AA1,CF8B0C,FFFFFF,642D8B
,Best way to kick the flu in the butt is with a pair of cashmere socks New cashmere socks arriving soon,,Caci Grinspan,CashmereRED,333333,ABB8C2,EFEFEF,EEEEEE,131516
,Our basketball team has a game tonight and 7 players are inactive from the stomach flu,,Aaron Gilani,AaronGilani,333333,0084B4,DDEEF6,FFFFFF,C0DEED
,jackiehoskinson go to doctor or minute clinic They ll give you tamiflu which shortens the flu,,Cody Schlosser,codycarnifex,977C61,C75741,EFDCC5,D4B494,FFFDF3
,Tired of being sick Shoo shoo flu Anyone a HowardStern and sternshow fan C mon,,Sam Ashley,SamAshleyBlogs,352726,B5AEB0,EBCDEB,FFFFFF,352726
,TROUBLE 3 if that got me the flu then how you get Ebola bro,,McLaurin,Mclaurin31,333333,0084B4,DDFFCC,BDDCAD,BF0606
,Flu Velvet MakeAMovieSick Schmovie,,Stephen Thomas,15Stephen15,333333,0084B4,DDEEF6,FFFFFF,C0DEED
,Flu shot hoax admitted No controlled trials demonstrating a decrease in influenza via HealthRanger,,David Leal,DavidLeal16,333333,38543,F6F6F6,EEEEEE,398F81
