User ID,Text,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color,Created At,Hour,Sleep Time
560231395302187008,Fact of the day On January 27 2011 Japan experiences its fifth outbreak of bird flu forcing the slaughter of 150 000 chickens,The Ranch,TheRanchLubbock,333333,FF0000,DDEEF6,000000,000000,Tue Dec 18 20:16:57 +0000 2012,20,0
560231641055252480,I hope I get recovery from this flu So ready to watch PLL and SAB coming up next,Sara Yu,saraGG14,000000,252525,C9B175,C9B175,252525,Sat Jun 30 03:39:49 +0000 2012,03,1
560231979376209920,Gosh this flu junk is awful had to cancel class at last minute Didn t want to risk spreading this around,Jeannie Whyte,JeannieWhyte,3D1957,FF0000,7AC3EE,65B0DA,642D8B,Mon Apr 06 19:37:31 +0000 2009,19,0
560232292493570049,KRISStianDior I woke up in the middle of the night feeling nauseous got the stomach flu I ate something bad yesterday,katrina,kayynola,3C3940,050DFF,95E8EC,FFFFFF,FFFFFF,Thu Jan 07 04:48:21 +0000 2010,04,1
560232329382068225,Necesita aumentar tus conocimientos del flu Visite,TuSNHD,TuSNHD,333333,663300,CCCC99,FFFFFF,996633,Mon Sep 12 21:37:13 +0000 2011,21,0
560232362500698112,if this is the flu,Lauren Brussell,lalabrussell,333333,CC3366,E6F6F9,DBE9ED,DBE9ED,Thu Dec 08 23:46:42 +0000 2011,23,0
560232488182620160,micchon asks If you had stomach flu before what are the things you did to recover faster,Fluther,fluther newborn,455E6E,BE3600,FFFFFF,BBD2C4,122637,Sat Jun 30 23:38:56 +0000 2007,23,0
560232584945213442,RT KING5Seattle Kitsap Co Health reports 5th flu death this season Health Dept will only say the five were adults 4 were over 70 one w,Sonja Smythe,SonjaSmythe,333333,0084B4,DDEEF6,C0DEED,C0DEED,Tue Jan 31 07:21:12 +0000 2012,07,0
560232601559257088,SneakerPics23 Flu Game 12 s my favorite pair of any shoe ever,KING,JordanDavid23,333333,990000,EFEFEF,FFFFFF,131516,Thu Feb 17 03:34:22 +0000 2011,03,1
560232651647234048,been washing my hands like we re bouta be outta water i ain t tryna get the flu again this year,kaylyn,KaylynHawkins,333333,800A7C,DDEEF6,C0DEED,C0DEED,Mon Dec 12 01:47:09 +0000 2011,01,1
560232829498298369,No flu That s good,Pr Jeff Irwin,prjeffdlc,333333,0084B4,DDEEF6,C0DEED,C0DEED,Fri Aug 19 21:06:48 +0000 2011,21,0
560232871206858752,Partially becAuse of the snow partially because i either have a sinus infection or the flu,Keyana Thomas,LiveItBigTime,333333,0084B4,C0DFEC,A8C7F7,022330,Mon May 11 00:14:18 +0000 2009,00,1
560233000701812736,RT eriklatshaw kevinmanwarren it also keeps you disease free AAAAAALLLL through flu season,Jay Ashenfelter,fakejayash,333333,0084B4,DDEEF6,C0DEED,C0DEED,Thu Mar 31 22:39:10 +0000 2011,22,0
560233090631872513,If I had gone to Sundance would I have still gotten the flu and bronchitis Some other me in some other universe knows the answer,Casey Cipriani,CaseyCip,634047,088253,E3E2DE,D3D2CF,EDECE9,Wed Aug 22 01:44:43 +0000 2012,01,1
560233203639005188,Brb opening my own Gatorade and soup delivery business Flu season will be money season,Steve Barton,steve w 91,333333,0084B4,DDEEF6,C0DEED,C0DEED,Sat Feb 26 04:26:22 +0000 2011,04,1
560233298941575168,Beat Colds amp Flu With This Simple Ginger Tea,Lisa Nett,dailyhealthinc,333333,0084B4,DDEEF6,C0DEED,C0DEED,Fri Mar 13 12:31:49 +0000 2009,12,0
560233354386477056,Six cold and flu medicines you re not taking today and for good reason Read,SmithsonianScienceEd,SmithsonianScie,333333,1D81C3,FFFFFF,FFFFFF,FFFFFF,Mon Aug 06 12:37:46 +0000 2012,12,0
560233364654141441,RT G massetti That 24 hour stomach flu was no joke Still don t think il ever eat food again tho,jenn,JennBalla,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Feb 06 01:57:24 +0000 2012,01,1
560233401245270018,Why are so Many Healthy People Dying from the Flu After Receiving the Flu Shot See more at,Barb Loe NVIC,NVICLoeDown,333333,0084B4,DDEEF6,C0DEED,C0DEED,Thu Oct 08 14:11:42 +0000 2009,14,0
560233685371584512,In today s paper More than 5 percent of ER visits in Jackson County are for flu like symptoms,mailtribune,mailtribune,333333,009999,EFEFEF,EEEEEE,131516,Thu Jul 19 17:46:38 +0000 2007,17,0
560234164528484352,cherie holman My poor baby has the flu I not sick,DucKarri,DakarriMuhammad,333333,F01313,DDEEF6,C0DEED,C0DEED,Wed Jun 27 02:20:53 +0000 2012,02,1
560234191498276866,mannnnn I got the dang flu,Mary Kate Mangum,mary kate98,3D1957,FF0000,7AC3EE,FFFFFF,8A2D84,Tue Jul 03 13:48:16 +0000 2012,13,0
560234231121448960,i m over here sick with the flu and my brother is complaining about having a headache and asked if i could bring him medicine uh hell no,c a i t,cait enix,333333,0084B4,DDEEF6,C0DEED,C0DEED,Tue Mar 16 18:21:33 +0000 2010,18,0
560234406347276288,RT DFSPIO DYK the symptoms of CO poisoning are like flu headache dizziness nausea Have CO alarms,Kelli Elder,kae1217,333333,CC3366,E6F6F9,DBE9ED,DBE9ED,Wed Apr 22 22:44:48 +0000 2009,22,0
